,Id_produit,Nom produit,Reference,Categorie principale,Categorie,EAN,Supplier_reference,Fournisseur,Marque,Prix,Quantite,VALEUR STOCK
0,22057,ORANGE - ROCKER 15,ROCKER 15,Amplificateurs Guitares Electriques,Combos Guitares Electriques,5060300000000.0,ORA-ROCKER15,HTD - High Tech Distribution,Orange,571.88,2,1143.76
1,33860,GR BASS - AT CUBE 500 BLK,AT CUBE 500 BLK,Amplificateurs Basses Electriques,Combos Basses,3701230000000.0,GR030,IMS Distribution,GR Bass,843.13,1,843.13
2,55552,INVADERS AMPLIFICATION - 535 BLUELEMON NAVY BLUE,535 BL NB,Amplificateurs Guitares Electriques,T̻tes d'Amplis Guitares Electriques,792650000000.0,INV535BLNB,Filling Distribution,Invaders,843.13,1,843.13
3,19194,ROLAND - BLUES CUBE ARTIST212,BC-ART212B,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4957050000000.0,BC-ART212B,Roland,Roland,829.7,1,829.7
4,19182,BOSS - WAZA 212,WAZA-212,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,4957050000000.0,WAZA-212,Roland,Boss,738.47,1,738.47
5,12372,PEAVEY - CLASSIC 30 112,CLASSIC 30 112,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,14367621198.0,621040,Adagio,Peavey,588.22,1,588.22
6,22547,CATALINBREAD - GALILEO,GALILEO,Amplificateurs Guitares Electriques,P̩dales Amp & Pr̩amplificateurs Guitares Electriques,853710000000.0,CATGAL,Filling Distribution,Catalinbread,195.0,3,585.0
7,62003,BLACKSTAR - HT-20RH MKIII - T̻te d'ampli 20 watts,HT-20RH MKIII,Amplificateurs Guitares Electriques,T̻tes d'Amplis Guitares Electriques,845644000000.0,705869,Adagio,Blackstar,544.84,1,544.84
8,33909,GR BASS - GR 210V-4 BLK,GR 210V-4 BLK,Amplificateurs Basses Electriques,Baffles Basses,,GR078B04,IMS Distribution,GR Bass,543.13,1,543.13
9,35552,ELIXIR - 19105 BULK 25 MEDIUM 11-49,19105,Cordes Guitares & Basses,Cordes Guitares Electriques,,CEL 19105,Algam - Camac,Elixir,168.3,3,504.9
10,19190,BOSS - KATANA-ARTIST MkII,KTN-ARTMKII,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4957050000000.0,KTN-ARTMKII,Roland,Boss,483.02,1,483.02
